file_name,group_name,pointid,count
MONAGS-X-X-R24-X-X-X.X-X.X-0001_5_of_5.ags,LOCA,BH12310,1
MONAGS-X-X-R24-X-X-X.X-X.X-0001_5_of_5.ags,LOCA,BH13313,1
MONAGS-X-X-R24-X-X-X.X-X.X-0001_5_of_5.ags,LOCA,BH13315,1
MONAGS-X-X-R24-X-X-X.X-X.X-0001_5_of_5.ags,LOCA,BH13320,1
MONAGS-X-X-R24-X-X-X.X-X.X-0001_5_of_5.ags,LOCA,BH13337,1
MONAGS-X-X-R24-X-X-X.X-X.X-0001_5_of_5.ags,LOCA,BH13353,1
MONAGS-X-X-R24-X-X-X.X-X.X-0001_5_of_5.ags,LOCA,BH13354,1
MONAGS-X-X-R24-X-X-X.X-X.X-0001_5_of_5.ags,LOCA,BH14302,1
MONAGS-X-X-R24-X-X-X.X-X.X-0001_5_of_5.ags,LOCA,BH14304,1
MONAGS-X-X-R24-X-X-X.X-X.X-0001_5_of_5.ags,LOCA,BH14305,1
MONAGS-X-X-R24-X-X-X.X-X.X-0001_5_of_5.ags,LOCA,BH14329,1
MONAGS-X-X-R24-X-X-X.X-X.X-0001_5_of_5.ags,LOCA,BH15304,1
MONAGS-X-X-R24-X-X-X.X-X.X-0001_5_of_5.ags,LOCA,BH15305,1
MONAGS-X-X-R24-X-X-X.X-X.X-0001_5_of_5.ags,LOCA,FBLKA10,1
MONAGS-X-X-R24-X-X-X.X-X.X-0001_5_of_5.ags,LOCA,FBLKA11,1
MONAGS-X-X-R24-X-X-X.X-X.X-0001_5_of_5.ags,LOCA,FBLKA12,1
MONAGS-X-X-R24-X-X-X.X-X.X-0001_5_of_5.ags,LOCA,TBLKA22,1
MONAGS-X-X-R24-X-X-X.X-X.X-0001_5_of_5.ags,LOCA,TBLKA23,1
MONAGS-X-X-R24-X-X-X.X-X.X-0001_5_of_5.ags,LOCA,TBLKA24,1
MONAGS-X-X-R24-X-X-X.X-X.X-0001_5_of_5.ags,LOCA,TBLKA25,1
MONAGS-X-X-R24-X-X-X.X-X.X-0001_5_of_5.ags,LOCA,TBLKA26,1
MONAGS-X-X-R24-X-X-X.X-X.X-0001_5_of_5.ags,LOCA,TBLKA27,1
MONAGS-X-X-R24-X-X-X.X-X.X-0001_5_of_5.ags,LOCA,PW07006A,1
MONAGS-X-X-R24-X-X-X.X-X.X-0001_5_of_5.ags,ERES,BH13313,213
MONAGS-X-X-R24-X-X-X.X-X.X-0001_5_of_5.ags,ERES,BH13315,213
MONAGS-X-X-R24-X-X-X.X-X.X-0001_5_of_5.ags,ERES,BH13320,423
MONAGS-X-X-R24-X-X-X.X-X.X-0001_5_of_5.ags,ERES,BH13337,213
MONAGS-X-X-R24-X-X-X.X-X.X-0001_5_of_5.ags,ERES,BH13353,240
MONAGS-X-X-R24-X-X-X.X-X.X-0001_5_of_5.ags,ERES,BH13354,240
MONAGS-X-X-R24-X-X-X.X-X.X-0001_5_of_5.ags,ERES,BH14302,213
MONAGS-X-X-R24-X-X-X.X-X.X-0001_5_of_5.ags,ERES,BH14305,240
MONAGS-X-X-R24-X-X-X.X-X.X-0001_5_of_5.ags,ERES,BH14329,284
MONAGS-X-X-R24-X-X-X.X-X.X-0001_5_of_5.ags,ERES,BH15304,213
MONAGS-X-X-R24-X-X-X.X-X.X-0001_5_of_5.ags,ERES,BH15305,213
MONAGS-X-X-R24-X-X-X.X-X.X-0001_5_of_5.ags,ERES,FBLKA10,66
MONAGS-X-X-R24-X-X-X.X-X.X-0001_5_of_5.ags,ERES,FBLKA11,66
MONAGS-X-X-R24-X-X-X.X-X.X-0001_5_of_5.ags,ERES,FBLKA12,66
MONAGS-X-X-R24-X-X-X.X-X.X-0001_5_of_5.ags,ERES,TBLKA22,66
MONAGS-X-X-R24-X-X-X.X-X.X-0001_5_of_5.ags,ERES,TBLKA23,66
MONAGS-X-X-R24-X-X-X.X-X.X-0001_5_of_5.ags,ERES,TBLKA24,66
MONAGS-X-X-R24-X-X-X.X-X.X-0001_5_of_5.ags,ERES,TBLKA25,66
MONAGS-X-X-R24-X-X-X.X-X.X-0001_5_of_5.ags,ERES,TBLKA26,66
MONAGS-X-X-R24-X-X-X.X-X.X-0001_5_of_5.ags,ERES,TBLKA27,66
MONAGS-X-X-R24-X-X-X.X-X.X-0001_5_of_5.ags,MONG,BH12310,1
MONAGS-X-X-R24-X-X-X.X-X.X-0001_5_of_5.ags,MONG,BH13313,1
MONAGS-X-X-R24-X-X-X.X-X.X-0001_5_of_5.ags,MONG,BH13315,1
MONAGS-X-X-R24-X-X-X.X-X.X-0001_5_of_5.ags,MONG,BH13320,1
MONAGS-X-X-R24-X-X-X.X-X.X-0001_5_of_5.ags,MONG,BH13337,1
MONAGS-X-X-R24-X-X-X.X-X.X-0001_5_of_5.ags,MONG,BH13353,1
MONAGS-X-X-R24-X-X-X.X-X.X-0001_5_of_5.ags,MONG,BH13354,1
MONAGS-X-X-R24-X-X-X.X-X.X-0001_5_of_5.ags,MONG,BH14302,1
MONAGS-X-X-R24-X-X-X.X-X.X-0001_5_of_5.ags,MONG,BH14304,1
MONAGS-X-X-R24-X-X-X.X-X.X-0001_5_of_5.ags,MONG,BH14305,1
MONAGS-X-X-R24-X-X-X.X-X.X-0001_5_of_5.ags,MONG,BH14329,1
MONAGS-X-X-R24-X-X-X.X-X.X-0001_5_of_5.ags,MONG,BH15304,1
MONAGS-X-X-R24-X-X-X.X-X.X-0001_5_of_5.ags,MONG,BH15305,1
MONAGS-X-X-R24-X-X-X.X-X.X-0001_5_of_5.ags,MONG,PW07006A,1
MONAGS-X-X-R24-X-X-X.X-X.X-0001_5_of_5.ags,MOND,BH12310,165
MONAGS-X-X-R24-X-X-X.X-X.X-0001_5_of_5.ags,MOND,BH13313,4213
MONAGS-X-X-R24-X-X-X.X-X.X-0001_5_of_5.ags,MOND,BH13315,5401
MONAGS-X-X-R24-X-X-X.X-X.X-0001_5_of_5.ags,MOND,BH13320,4135
MONAGS-X-X-R24-X-X-X.X-X.X-0001_5_of_5.ags,MOND,BH13337,5051
MONAGS-X-X-R24-X-X-X.X-X.X-0001_5_of_5.ags,MOND,BH13353,48
MONAGS-X-X-R24-X-X-X.X-X.X-0001_5_of_5.ags,MOND,BH13354,48
MONAGS-X-X-R24-X-X-X.X-X.X-0001_5_of_5.ags,MOND,BH14302,4479
MONAGS-X-X-R24-X-X-X.X-X.X-0001_5_of_5.ags,MOND,BH14304,165
MONAGS-X-X-R24-X-X-X.X-X.X-0001_5_of_5.ags,MOND,BH14305,349
MONAGS-X-X-R24-X-X-X.X-X.X-0001_5_of_5.ags,MOND,BH14329,349
MONAGS-X-X-R24-X-X-X.X-X.X-0001_5_of_5.ags,MOND,BH15304,326
MONAGS-X-X-R24-X-X-X.X-X.X-0001_5_of_5.ags,MOND,BH15305,195
MONAGS-X-X-R24-X-X-X.X-X.X-0001_5_of_5.ags,MOND,PW07006A,15128
MONAGS-X-X-R24-X-X-X.X-X.X-0001_5_of_5.ags,SAMP,BH13313,3
MONAGS-X-X-R24-X-X-X.X-X.X-0001_5_of_5.ags,SAMP,BH13315,3
MONAGS-X-X-R24-X-X-X.X-X.X-0001_5_of_5.ags,SAMP,BH13320,3
MONAGS-X-X-R24-X-X-X.X-X.X-0001_5_of_5.ags,SAMP,BH13337,3
MONAGS-X-X-R24-X-X-X.X-X.X-0001_5_of_5.ags,SAMP,BH13353,3
MONAGS-X-X-R24-X-X-X.X-X.X-0001_5_of_5.ags,SAMP,BH13354,3
MONAGS-X-X-R24-X-X-X.X-X.X-0001_5_of_5.ags,SAMP,BH14302,3
MONAGS-X-X-R24-X-X-X.X-X.X-0001_5_of_5.ags,SAMP,BH14305,3
MONAGS-X-X-R24-X-X-X.X-X.X-0001_5_of_5.ags,SAMP,BH14329,4
MONAGS-X-X-R24-X-X-X.X-X.X-0001_5_of_5.ags,SAMP,BH15304,3
MONAGS-X-X-R24-X-X-X.X-X.X-0001_5_of_5.ags,SAMP,BH15305,3
