file_name,group_name,line_start,line_end
MONAGS-X-X-R24-X-X-X.X-X.X-0001_5_of_5.ags,"PROJ",0,4
MONAGS-X-X-R24-X-X-X.X-X.X-0001_5_of_5.ags,"LOCA",6,32
MONAGS-X-X-R24-X-X-X.X-X.X-0001_5_of_5.ags,"ERES",34,3336
MONAGS-X-X-R24-X-X-X.X-X.X-0001_5_of_5.ags,"MONG",3338,3355
MONAGS-X-X-R24-X-X-X.X-X.X-0001_5_of_5.ags,"MOND",3357,43412
MONAGS-X-X-R24-X-X-X.X-X.X-0001_5_of_5.ags,"SAMP",43414,43460
MONAGS-X-X-R24-X-X-X.X-X.X-0001_5_of_5.ags,"TRAN",43462,43466
MONAGS-X-X-R24-X-X-X.X-X.X-0001_5_of_5.ags,"TYPE",43468,43484
MONAGS-X-X-R24-X-X-X.X-X.X-0001_5_of_5.ags,"ABBR",43486,43717
MONAGS-SU-X-R24-X-X-X.X-X.X-0001.ags,"PROJ",0,4
MONAGS-SU-X-R24-X-X-X.X-X.X-0001.ags,"LOCA",6,54
MONAGS-SU-X-R24-X-X-X.X-X.X-0001.ags,"ERES",56,93
MONAGS-SU-X-R24-X-X-X.X-X.X-0001.ags,"MONG",95,149
MONAGS-SU-X-R24-X-X-X.X-X.X-0001.ags,"MOND",151,1855
MONAGS-SU-X-R24-X-X-X.X-X.X-0001.ags,"SAMP",1857,1877
MONAGS-SU-X-R24-X-X-X.X-X.X-0001.ags,"TRAN",1879,1883
MONAGS-SU-X-R24-X-X-X.X-X.X-0001.ags,"TYPE",1885,1901
MONAGS-SU-X-R24-X-X-X.X-X.X-0001.ags,"ABBR",1903,1928
